,Logistic classify L2,MIC,Corr.,RF,Stability,Logistic classify L1,RFE,Mean
splt_10_18,0.04,0.01,0,0.01,0.01,0.02,0.46,0.08
splt_10_19,0.05,0.01,0.01,0,0,0,0.11,0.03
splt_10_2,0.22,0.04,0.02,0,0.04,0.05,0.56,0.13
splt_10_3,0.19,0.07,0,0.01,0.02,0.05,0.58,0.13
splt_10_4,0.02,0.01,0,0,0,0.01,0.04,0.01
splt_10_5,0.04,0.01,0,0,0.01,0.01,0.1,0.02
splt_10_6,0.02,0,0,0,0,0,0.03,0.01
splt_10_7,0,0,0,0,0,0,0.04,0.01
splt_10_8,0.02,0.01,0,0,0,0,0.03,0.01
splt_10_9,0.01,0,0,0,0,0,0.09,0.01
splt_11_0,0.71,0.23,0.07,0.07,0.06,0.06,0.78,0.28
splt_11_1,0.19,0.02,0.04,0,0.03,0.03,0.55,0.12
splt_11_10,0.05,0.01,0,0,0.01,0.02,0.5,0.08
splt_11_11,0.06,0.01,0,0,0,0,0.46,0.08
splt_11_12,0,0,0,0,0,0,0.06,0.01
splt_11_13,0.01,0,0.01,0,0,0,0.02,0.01
splt_11_14,0,0,0,0,0,0,0.06,0.01
splt_11_15,0,0,0,0,0,0,0,0
splt_11_16,0,0,0,0,0,0,0.05,0.01
splt_11_17,0,0,0,0,0,0,0.01,0
splt_11_18,0.08,0.03,0,0.02,0,0.01,0.54,0.1
splt_11_19,0.03,0.01,0,0,0,0,0.05,0.01
splt_11_2,0.16,0.01,0,0,0.03,0.03,0.53,0.11
splt_11_3,0.12,0.02,0,0,0.02,0.02,0.53,0.1
splt_11_4,0.04,0.01,0,0,0,0,0.03,0.01
splt_11_5,0.04,0,0,0,0.01,0.01,0.02,0.01
splt_11_6,0.03,0,0,0,0,0.01,0.02,0.01
splt_11_7,0.05,0,0,0,0.01,0.01,0.02,0.01
splt_11_8,0.02,0,0,0,0,0,0.01,0
splt_11_9,0,0,0,0,0,0,0.01,0
splt_12_0,1,0.36,0.02,0.02,0.08,0.11,0.6,0.31
splt_12_1,0.09,0.07,0,0.01,0.01,0.01,0.52,0.1
splt_12_10,0.01,0.01,0,0,0,0,0.53,0.08
splt_12_11,0,0,0,0,0,0,0.41,0.06
splt_12_12,0.01,0,0,0,0,0,0.43,0.06
splt_12_13,0,0,0,0,0,0,0.34,0.05
splt_12_14,0,0,0,0,0,0,0.11,0.02
splt_12_15,0,0,0,0,0,0,0.42,0.06
splt_12_16,0,0,0,0,0,0,0.35,0.05
splt_12_17,0,0,0,0,0,0,0.43,0.06
splt_12_18,0.02,0.01,0,0,0,0,0.54,0.08
splt_12_19,0.05,0.01,0.02,0,0,0,0.51,0.08
splt_12_2,0.11,0.01,0.01,0,0.02,0.03,0.47,0.09
splt_12_3,0.11,0.01,0,0,0.01,0.01,0.38,0.07
splt_12_4,0.16,0.02,0,0,0.02,0.03,0.44,0.1
splt_12_5,0.01,0,0,0,0,0,0.19,0.03
splt_12_6,0.04,0.01,0,0,0,0,0.4,0.06
splt_12_7,0.03,0,0.01,0,0,0,0.26,0.04
splt_12_8,0.07,0,0,0,0,0.01,0.15,0.03
splt_12_9,0.01,0,0,0,0,0,0.23,0.03
splt_13_0,0.25,0.01,0.01,0,0.04,0.03,0.53,0.12
splt_13_1,0.13,0,0,0,0.03,0.04,0.45,0.09
splt_13_10,0.01,0.01,0.01,0,0,0,0.48,0.07
splt_13_11,0.01,0,0,0,0,0,0.34,0.05
splt_13_12,0,0,0,0,0,0,0.38,0.05
splt_13_13,0.06,0,0,0,0,0.01,0.42,0.07
splt_13_14,0.01,0,0,0,0,0,0.42,0.06
splt_13_15,0,0,0,0,0,0,0.3,0.04
splt_13_16,0,0,0,0,0,0,0.33,0.05
splt_13_17,0,0,0,0,0,0,0.41,0.06
splt_13_18,0.04,0.01,0,0,0,0.01,0.53,0.08
splt_13_19,0.01,0.01,0.01,0,0,0,0.41,0.06
splt_13_2,0.03,0,0,0,0,0,0.43,0.07
splt_13_3,0.11,0.01,0,0,0.01,0.03,0.43,0.08
splt_13_4,0.13,0.01,0,0,0.02,0.02,0.38,0.08
splt_13_5,0.01,0,0,0,0,0,0.34,0.05
splt_13_6,0.1,0,0,0,0.02,0.02,0.44,0.08
splt_13_7,0.03,0,0,0,0,0,0.48,0.07
splt_13_8,0.01,0,0,0,0,0,0.3,0.04
splt_13_9,0,0,0,0,0,0,0.35,0.05
splt_14_0,0.02,0.01,0,0,0.01,0.01,0.47,0.07
splt_14_1,0.06,0,0,0,0,0,0.44,0.07
splt_14_10,0.01,0,0,0,0,0,0.48,0.07
splt_14_11,0.01,0,0,0,0,0,0.36,0.05
splt_14_12,0,0,0,0,0,0,0.4,0.06
splt_14_13,0.01,0,0,0,0,0,0.39,0.06
splt_14_14,0.02,0,0,0,0,0.08,0.25,0.05
splt_14_15,0,0,0,0,0,0,0.37,0.05
splt_14_16,0,0,0,0,0,0,0.37,0.05
splt_14_17,0,0,,0,0,0,0.44,
splt_14_18,0.04,0.01,0,0,0,0.01,0.51,0.08
splt_14_19,0.02,0.01,0.02,0,0,0,0.38,0.06
splt_14_2,0.03,0,0,0,0,0,0.29,0.05
splt_14_3,0.04,0.01,0,0,0,0.01,0.48,0.08
splt_14_4,0.01,0,0,0,0,0,0.32,0.05
splt_14_5,0.02,0.01,0,0,0,0.01,0.33,0.05
splt_14_6,0.01,0,0,0,0,0,0.42,0.06
splt_14_7,0,0,0,0,0,0,0.37,0.05
splt_14_8,0,0,0,0,0,0,0.43,0.06
splt_14_9,0,0,0,0,0,0,0.29,0.04
splt_15_0,0.05,0,0,0,0.01,0.02,0.46,0.08
splt_15_1,0.02,0,0,0,0,0,0.46,0.07
splt_15_10,0.01,0,0,0,0,0,0.46,0.07
splt_15_11,0,0,0,0,0,0,0.38,0.05
splt_15_12,0,0,0,0,0,0,0.04,0.01
splt_15_13,0,0,0,0,0,0,0.47,0.07
splt_15_14,0,0,0,0,0,0,0.39,0.06
splt_15_15,0,0,0,0,0,0,0.39,0.06
splt_15_16,0,0,0,0,0,0,0.27,0.04
splt_15_17,0,0,,0,0,0,0.36,
splt_15_18,0.04,0.01,0,0,0,0,0.47,0.07
splt_15_19,0.06,0.01,0.02,0,0.01,0.01,0.49,0.09
splt_15_2,0.08,0,0,0,0.05,0.06,0.31,0.07
splt_15_3,0.03,0.01,0,0,0,0,0.45,0.07
splt_15_4,0.01,0,0,0,0,0,0.36,0.05
splt_15_5,0,0,0,0,0,0,0.18,0.03
splt_15_6,0,0,0,0,0,0,0.4,0.06
splt_15_7,0,0,0,0,0,0,0.45,0.06
splt_15_8,0,0,0,0,0,0,0.17,0.02
splt_15_9,0,0,0,0,0,0,0.46,0.07
splt_16_0,0.03,0.01,0,0.01,0.01,0.01,0.24,0.04
splt_16_1,0,0,0,0,0,0,0.38,0.05
splt_16_10,0.01,0,0,0,0,0,0.31,0.05
splt_16_11,0,0,0,0,0,0,0.42,0.06
splt_16_12,0,0,0,0,0,0,0.39,0.06
splt_16_13,0,0,0,0,0,0,0.36,0.05
splt_16_14,0,0,0,0,0,0,0.31,0.04
splt_16_15,0,0,0,0,0,0,0.37,0.05
splt_16_16,0,0,0,0,0,0,0.37,0.05
splt_16_17,0,0,0,0,0,0,0.29,0.04
splt_16_18,0.05,0.01,0,0,0,0,0.52,0.08
splt_16_19,0.02,0.01,0.02,0,0,0,0.48,0.08
splt_16_2,0.02,0,0,0,0,0,0.33,0.05
splt_16_3,0.01,0,0,0,0,0,0.47,0.07
splt_16_4,0.01,0,0,0,0,0,0.39,0.06
splt_16_5,0,0,0,0,0,0,0.28,0.04
splt_16_6,0,0,0,0,0,0,0.32,0.05
splt_16_7,0.02,0,0,0,0,0.01,0.33,0.05
splt_16_8,0,0,,0,0,0,0.45,
splt_16_9,0,0,,0,0,0,0.29,
splt_17_0,0.01,0,0,0,0,0,0.37,0.05
splt_17_1,0.02,0,0,0,0,0,0.28,0.04
splt_17_10,0.03,0,0,0,0,0,0.42,0.06
splt_17_11,0,0,0,0,0,0,0.34,0.05
splt_17_12,0,0,,0,0,0,0.45,
splt_17_13,0,0,0,0,0,0,0.17,0.02
splt_17_14,0,0,,0,0,0,0.18,
splt_17_15,0,0,0,0,0,0,0.28,0.04
splt_17_16,0,0,,0,0,0,0.27,
splt_17_17,0.02,0,0,0,0,0,0.32,0.05
splt_17_18,0.03,0.01,0,0,0,0,0.49,0.08
splt_17_19,0.02,0.01,0.02,0,0,0,0.44,0.07
splt_17_2,0.04,0,0,0,0,0.01,0.19,0.03
splt_17_3,0.01,0,0,0,0,0,0.42,0.06
splt_17_4,0,0,0,0,0,0,0.4,0.06
splt_17_5,0,0,0,0,0,0,0.13,0.02
splt_17_6,0,0,0,0,0,0,0.26,0.04
splt_17_7,0,0,0,0,0,0,0.36,0.05
splt_17_8,0,0,0,0,0,0,0.01,0
splt_17_9,0,0,0,0,0,0,0.14,0.02
splt_18_0,0.1,0.04,0.01,0.01,0.05,0.07,0.55,0.12
splt_18_1,0.12,0.02,0,0.01,0.03,0.03,0.56,0.11
splt_18_10,0.04,0.01,0,0,0,0,0.5,0.08
splt_18_11,0.01,0.01,0,0,0,0,0.07,0.01
splt_18_12,0.01,0.06,0.02,0.01,0,0,0.5,0.09
splt_18_13,0.02,0.01,0,0,0,0,0.52,0.08
splt_18_14,0,0,0,0,0,0,0.12,0.02
splt_18_15,0,0,0,0,0,0,0.32,0.05
splt_18_16,0.01,0.01,0,0,0,0,0.52,0.08
splt_18_17,0,0,0,0,0,0,0.07,0.01
splt_18_18,0.48,0.09,0.12,0.03,0.06,0.1,0.6,0.21
splt_18_19,0.03,0.01,0.02,0,0,0,0.52,0.08
splt_18_2,0.06,0.01,0,0,0,0.01,0.06,0.02
splt_18_3,0.05,0.01,0,0,0.01,0.01,0.54,0.09
splt_18_4,0.02,0,0,0,0,0,0.23,0.04
splt_18_5,0.01,0,0,0,0,0,0.07,0.01
splt_18_6,0.03,0,0,0,0,0,0.48,0.07
splt_18_7,0.02,0,0,0,0,0,0.22,0.03
splt_18_8,0,0,0,0,0,0,0.27,0.04
splt_18_9,0.01,0,0,0,0,0,0.03,0.01
splt_19_0,0.03,0.01,0,0,0,0,0.51,0.08
splt_19_1,0.05,0.02,0.06,0,0.01,0.02,0.51,0.1
splt_19_10,0.01,0.01,0,0,0,0,0.49,0.07
splt_19_11,0.03,0.01,0.02,0,0.04,0.05,0.33,0.07
splt_19_12,0.01,0.03,0.01,0,0,0,0.53,0.08
splt_19_13,0.01,0,0,0,0,0,0.51,0.07
splt_19_14,0,0,0,0,0,0,0.09,0.01
splt_19_15,0,0,0,0,0,0,0.41,0.06
splt_19_16,0,0,0,0,0,0,0.08,0.01
splt_19_17,0.01,0,0.01,0,0,0,0.4,0.06
splt_19_18,0.04,0.01,0.01,0,0.01,0.01,0.47,0.08
splt_19_19,0.1,0.06,0.07,0,0.03,0.03,0.55,0.12
splt_19_2,0.09,0.02,0.02,0,0.04,0.05,0.51,0.1
splt_19_3,0.05,0.02,0.04,0,0,0,0.5,0.09
splt_19_4,0.01,0.01,0,0,0.01,0.01,0.26,0.04
splt_19_5,0.02,0,0,0,0,0,0.32,0.05
splt_19_6,0.04,0.01,0,0,0,0,0.25,0.04
splt_19_7,0.01,0,0,0,0,0,0.24,0.04
splt_19_8,0.01,0,0,0,0,0,0.19,0.03
splt_19_9,0.1,0.02,0,0,0.03,0,0.17,0.05
splt_1_0,0.05,0.02,0,0.01,0.04,0.08,0.56,0.11
splt_1_1,0.04,0.03,0,0,0,0,0.43,0.07
splt_1_10,0.13,0.01,0,0.01,0.04,0.04,0.54,0.11
splt_1_11,0.16,0.01,0.02,0,0.08,0.1,0.52,0.13
splt_1_12,0.05,0.01,0.04,0,0,0,0.49,0.08
splt_1_13,0.03,0.01,0,0,0,0,0.51,0.08
splt_1_14,0.03,0,0,0,0,0,0.3,0.05
splt_1_15,0.01,0.01,0,0,0,0,0.43,0.06
splt_1_16,0.03,0.01,0.01,0,0,0,0.38,0.06
splt_1_17,0.01,0,0,0,0,0,0.31,0.05
splt_1_18,0.02,0.04,0.01,0,0,0,0.45,0.07
splt_1_19,0.01,0,0,0,0,0,0.35,0.05
splt_1_2,0.01,0,0,0,0,0,0.41,0.06
splt_1_3,0,0,0,0,0,0,0.4,0.06
splt_1_4,0,0,0,0,0,0,0.06,0.01
splt_1_5,0.01,0,0,0,0,0,0.36,0.05
splt_1_6,0.01,0,0,0,0,0,0.34,0.05
splt_1_7,0,0,0,0,0,0,0.39,0.06
splt_1_8,0.01,0,0,0,0,0,0.41,0.06
splt_1_9,0.01,0,0,0,0,0,0.21,0.03
splt_2_0,0.03,0.01,0,0,0,0,0.44,0.07
splt_2_1,0.01,0,0,0,0,0,0.32,0.05
splt_2_10,0.03,0.03,0,0,0,0,0.47,0.08
splt_2_11,0.03,0,0,0,0,0,0.35,0.05
splt_2_12,0.04,0.01,0.02,0,0,0,0.52,0.08
splt_2_13,0.01,0,0,0,0,0,0.31,0.05
splt_2_14,0.02,0.01,0.01,0,0,0,0.39,0.06
splt_2_15,0.02,0,0,0,0,0,0.36,0.05
splt_2_16,0.01,0,0,0,0,0,0.33,0.05
splt_2_17,0.02,0,0,0,0,0,0.34,0.05
splt_2_18,0.01,0,0,0,0,0,0.31,0.05
splt_2_19,0.03,0.01,0.04,0,0,0,0.4,0.07
splt_2_2,0.03,0,0,0,0,0.01,0.32,0.05
splt_2_3,0.02,0,0,0,0,0,0.34,0.05
splt_2_4,0,0,0,0,0,0,0.24,0.03
splt_2_5,0,0,0,0,0,0,0.29,0.04
splt_2_6,0,0,0,0,0,0,0.1,0.01
splt_2_7,0,0,0,0,0,0,0.3,0.04
splt_2_8,0.01,0,0,0,0,0,0.49,0.07
splt_2_9,0.05,0.02,0,0,0,0,0.5,0.08
splt_3_0,0.08,0.02,0.01,0,0,0,0.55,0.09
splt_3_1,0,0,0,0,0,0,0.28,0.04
splt_3_10,0.03,0.02,0,0,0,0,0.46,0.07
splt_3_11,0.02,0.01,0,0,0,0,0.27,0.04
splt_3_12,0,0,0,0,0,0,0.26,0.04
splt_3_13,0.03,0.01,0,0,0,0,0.27,0.04
splt_3_14,0,0,0,0,0,0,0.27,0.04
splt_3_15,0,0,0,0,0,0,0.28,0.04
splt_3_16,0,0,0,0,0,0,0.25,0.04
splt_3_17,0,0,0,0,0,0,0.18,0.03
splt_3_18,0,0,0,0,0,0,0.35,0.05
splt_3_19,0.01,0,0,0,0,0,0.31,0.05
splt_3_2,0.01,0,0,0,0,0,0.35,0.05
splt_3_3,0.1,0.02,0.02,0,0.01,0.01,0.49,0.09
splt_3_4,0.01,0,0,0,0,0,0.3,0.04
splt_3_5,0,0,0,0,0,0,0.25,0.04
splt_3_6,0.02,0,0,0,0,0,0.3,0.05
splt_3_7,0.03,0.01,0,0,0,0.01,0.33,0.05
splt_3_8,0.03,0.01,0,0,0,0,0.28,0.05
splt_3_9,0.01,0,0.01,0,0,0,0.29,0.04
splt_4_0,0.01,0,0,0,0,0,0.3,0.04
splt_4_1,0,0,0,0,0,0,0.24,0.03
splt_4_10,0.01,0.01,0,0,0,0,0.28,0.04
splt_4_11,0.01,0,0,0,0,0,0.29,0.04
splt_4_12,0,0,0,0,0,0,0.26,0.04
splt_4_13,0.01,0,0,0,0,0,0.24,0.04
splt_4_14,0,0,0,0,0,0,0.27,0.04
splt_4_15,0,0,0,0,0,0,0.22,0.03
splt_4_16,0.01,0,0,0,0,0,0.19,0.03
splt_4_17,0,0,0,0,0,0,0.22,0.03
splt_4_18,0.01,0,0,0,0,0,0.25,0.04
splt_4_19,0,0,0,0,0,0,0.23,0.03
splt_4_2,0,0,0,0,0,0,0.23,0.03
splt_4_3,0.01,0,0,0,0,0,0.2,0.03
splt_4_4,0.02,0,0,0,0,0,0.21,0.03
splt_4_5,0,0,0,0,0,0,0.23,0.03
splt_4_6,0,0,0,0,0,0,0.23,0.03
splt_4_7,0,0,0,0,0,0,0.21,0.03
splt_4_8,0.02,0.01,0,0,0,0,0.26,0.04
splt_4_9,0.01,0,0,0,0,0,0.14,0.02
splt_5_0,0.03,0,0,0,0,0,0.22,0.04
splt_5_1,0,0,0,0,0,0,0.23,0.03
splt_5_10,0.01,0.03,0.01,0,0,0,0.25,0.04
splt_5_11,0.02,0.01,0,0,0.02,0.01,0.37,0.06
splt_5_12,0,0,,0,0,0,0.22,
splt_5_13,0,0,0,0,0,0,0.22,0.03
splt_5_14,0.01,0,0,0,0,0,0.22,0.03
splt_5_15,0,0,0,0,0,0,0.2,0.03
splt_5_16,0,0,0,0,0,0,0.21,0.03
splt_5_17,0,0,0,0,0,0,0.19,0.03
splt_5_18,0,0,0,0,0,0,0.17,0.02
splt_5_19,0.01,0,0.01,0,0,0,0.17,0.03
splt_5_2,0,0,0,0,0,0,0.18,0.03
splt_5_3,0,0,0,0,0,0,0.19,0.03
splt_5_4,0,0,0,0,0,0,0.18,0.03
splt_5_5,0.01,0,0,0,0,0,0.18,0.03
splt_5_6,0,0,0,0,0,0,0.16,0.02
splt_5_7,0,0,0,0,0,0,0.2,0.03
splt_5_8,0.02,0,0,0,0,0,0.2,0.03
splt_5_9,0.01,0,0,0,0,0,0.21,0.03
splt_6_0,0.02,0.01,0,0,0.01,0.01,0.19,0.03
splt_6_1,0,0,0,0,0,0,0.16,0.02
splt_6_10,0,0,0,0,0,0,0.14,0.02
splt_6_11,0.02,0,0,0,0,0,0.12,0.02
splt_6_12,0.03,0,0,0,0,0,0.26,0.04
splt_6_13,0.02,0,0,0,0,0,0.15,0.02
splt_6_14,0.01,0,0,0,0,0,0.2,0.03
splt_6_15,0.01,0,0,0,0,0,0.15,0.02
splt_6_16,0,0.01,0,0,0,0,0.16,0.02
splt_6_17,0.01,0,0,0,0,0,0.13,0.02
splt_6_18,0,0,,0,0,0,0.12,
splt_6_19,0,0,,0,0,0,0.14,
splt_6_2,0.01,0,0,0,0,0,0.14,0.02
splt_6_3,0,0,0,0,0,0,0.17,0.02
splt_6_4,0,0,0,0,0,0,0.15,0.02
splt_6_5,0,0,0,0,0,0,0.13,0.02
splt_6_6,0,0,0,0,0,0,0.07,0.01
splt_6_7,0,0,0,0,0,0,0.2,0.03
splt_6_8,0.01,0.01,0.01,0,0,0,0.15,0.03
splt_6_9,0.03,0.01,0.01,0,0,0,0.21,0.04
splt_7_0,0.02,0.01,0.01,0,0.02,0.03,0.13,0.03
splt_7_1,0,0,0,0,0,0,0.12,0.02
splt_7_10,0.01,0,0,0,0,0,0.21,0.03
splt_7_11,0.01,0,0,0,0,0,0.18,0.03
splt_7_12,0.01,0,0,0,0,0,0.12,0.02
splt_7_13,0,0,0,0,0,0,0.12,0.02
splt_7_14,0.01,0,0,0,0,0,0.1,0.02
splt_7_15,0.01,0,0,0,0,0,0.08,0.01
splt_7_16,0,0,0,0,0,0,0.13,0.02
splt_7_17,0,0,0,0,0,0,0.17,0.02
splt_7_18,0,0,0,0,0,0,0.04,0.01
splt_7_19,0,0,0,0,0,0,0.13,0.02
splt_7_2,0,0,0,0,0,0,0.15,0.02
splt_7_3,0.02,0,0,0,0,0,0.11,0.02
splt_7_4,0,0,0,0,0,0,0.1,0.01
splt_7_5,0,0,0,0,0,0,0.04,0.01
splt_7_6,0,0,0,0,0,0,0.02,0
splt_7_7,0.01,0,0,0,0,0,0.08,0.01
splt_7_8,0.01,0,0,0,0,0,0.09,0.01
splt_7_9,0.02,0.01,0.02,0,0,0,0.06,0.02
splt_8_0,0.02,0.01,0,0.01,0.05,0.06,0.56,0.1
splt_8_1,0.01,0,0,0,0,0,0.11,0.02
splt_8_10,0.01,0.02,0,0,0,0,0.44,0.07
splt_8_11,0.02,0.01,0,0,0,0.01,0.55,0.08
splt_8_12,0,0,0,0,0,0,0.24,0.03
splt_8_13,0.01,0,0,0,0,0,0.06,0.01
splt_8_14,0,0,0,0,0,0,0.05,0.01
splt_8_15,0,0,0,0,0,0,0.09,0.01
splt_8_16,0,0,0,0,0,0,0.09,0.01
splt_8_17,0,0,0,0,0,0,0.05,0.01
splt_8_18,0.01,0.01,0,0,0,0,0.1,0.02
splt_8_19,0,0,,0,0,0,0.04,
splt_8_2,0,0,0,0,0,0,0.05,0.01
splt_8_3,0.01,0,0,0,0,0,0.05,0.01
splt_8_4,0,0,0,0,0,0,0.04,0.01
splt_8_5,0.01,0,0,0,0,0,0.02,0
splt_8_6,0.01,0.01,0.01,0,0,0,0.02,0.01
splt_8_7,0,0,0,0,0,0,0.03,0
splt_8_8,0.2,0.02,0.06,0,0.07,0.08,0.45,0.13
splt_8_9,0,0,0,0,0,0,0.11,0.02
splt_9_0,0.01,0.02,0.01,0,0,0,0.03,0.01
splt_9_1,0.01,0,0,0,0,0,0.16,0.02
splt_9_10,0.01,0.01,0.01,0,0,0,0.08,0.02
splt_9_11,0.02,0.01,0.01,0,0,0,0.24,0.04
splt_9_12,0.01,0,0.02,0,0,0,0.07,0.01
splt_9_13,0.01,0,0,0,0,0,0.01,0
splt_9_14,0.01,0,0,0,0,0,0.01,0
splt_9_15,0,0,0,0,0,0,0,0
splt_9_16,0,0,0,0,0,0,0,0
splt_9_17,0,0,0,0,0,0,0.07,0.01
splt_9_18,0,0,0,0,0,0,0.03,0
splt_9_19,0.01,0,0,0,0,0,0.11,0.02
splt_9_2,0.01,0,0,0,0,0,0,0
splt_9_3,0.01,0,0,0,0,0,0.35,0.05
splt_9_4,0,0,0,0,0,0,0.1,0.01
splt_9_5,0,0,0,0,0,0,0.01,0
splt_9_6,0,0,0,0,0,0,0.16,0.02
splt_9_7,0,0,0,0,0,0,0.2,0.03
splt_9_8,0,0,0,0,0,0,0.13,0.02
splt_9_9,0.03,0.02,0,0,0,0,0.16,0.03
tls_c_key_length,0,0.02,0,0,0,0,0.55,0.08
tls_ext_server_name,0.01,0.07,0,0.02,0,0,0.75,0.12
tls_scs,0.11,0.07,0,0.01,0.01,0.01,0.62,0.12
tot_backpkts,0.05,0.24,0.01,0.02,0,0,0.81,0.16
tot_backpktsize,0,0.5,0,0.15,0,0,0.97,0.23
tot_forpkts,0.04,0.25,0.01,0.04,0,0,0.85,0.17
tot_forpktsize,0,0.43,0,0.13,0,0,0.99,0.22
totbackipt,0,0.76,0.02,0.24,0,0,0.99,0.29
totfoript,0,0.33,0,0.04,0,0,0.87,0.18
ttlin,0.02,0.62,0.24,0.59,0,0,0.99,0.35
ttlout,0.03,0.3,1,0.18,0,0,0.98,0.36
